opis_id,name,address,city,state,retail_price,latitude,longitude
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,3.007,36.53787,-95.22136
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,3.287,43.97858,-90.50402
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,3.899,32.94782,-112.71683
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,3.399,35.38592,-94.39855
35,ACI TRUCK STOP,US-46,Columbia,NJ,3.079,40.92621,-75.09268
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,2.899,38.74595,-78.64224
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,2.919,30.82491,-97.60445
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,3.154,32.39486,-85.9169
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,3.959,38.95922,-85.89025
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,3.726,41.26194,-95.86083
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,3.516,46.81388,-100.2915
75,Good 2 Go #709,US-50,Montrose,CO,3.424,38.47832,-107.87617
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,3.229,38.5565,-75.57131
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle,DE,3.249,39.65948,-75.56359
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,3.439,27.52171,-82.5276
85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,3.459,39.76471,-105.60028
91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville,GA,3.499,33.55402,-82.89598
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.269,43.35947,-83.88164
118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,3.299,35.35391,-109.0537
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,3.474,32.7559,-111.55484
127,CIRCLE K #4700095,US-41,Henderson,KY,3.609,37.83615,-87.59001
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham,IL,3.349,39.12004,-88.54338
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,3.389,41.42087,-90.01511
147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,3.624,40.12115,-85.55803
149,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne,IN,3.592,41.1306,-85.12886
151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,3.132,40.92945,-100.16068
159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,3.859,30.33218,-81.65565
160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs,LA,3.232,30.4874,-90.95753
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station,IN,3.809,41.57504,-87.23892
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,3.436,41.31865,-87.20031
174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches,TX,2.859,31.60351,-94.65549
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,3.719,41.26194,-95.86083
186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft,WY,3.239,44.26331,-104.95025
